# Best fit model.
# chi^2=2.710200e+01.
# z_eff=0.470567.
# Parameters:   8.8106e-01   8.0168e-01   4.0120e-01   1.9265e-01   2.5189e+00   9.7549e-01
#         ell        C_l_a        C_l_x
   2.9400e+02   9.7217e-06   1.0249e-07
   2.9500e+02   9.6975e-06   1.0202e-07
   2.9600e+02   9.6735e-06   1.0155e-07
   2.9700e+02   9.6498e-06   1.0109e-07
   2.9800e+02   9.6263e-06   1.0064e-07
   2.9900e+02   9.6031e-06   1.0019e-07
   3.0000e+02   9.5802e-06   9.9739e-08
   3.0100e+02   9.5574e-06   9.9297e-08
   3.0200e+02   9.5350e-06   9.8859e-08
   3.0300e+02   9.5127e-06   9.8426e-08
   3.0400e+02   9.4907e-06   9.7998e-08
   3.0500e+02   9.4690e-06   9.7573e-08
   3.0600e+02   9.4474e-06   9.7153e-08
   3.0700e+02   9.4260e-06   9.6737e-08
   3.0800e+02   9.4049e-06   9.6325e-08
   3.0900e+02   9.3840e-06   9.5917e-08
   3.1000e+02   9.3632e-06   9.5513e-08
   3.1100e+02   9.3427e-06   9.5113e-08
   3.1200e+02   9.3223e-06   9.4717e-08
   3.1300e+02   9.3021e-06   9.4324e-08
   3.1400e+02   9.2821e-06   9.3935e-08
   3.1500e+02   9.2623e-06   9.3550e-08
   3.1600e+02   9.2426e-06   9.3168e-08
   3.1700e+02   9.2231e-06   9.2790e-08
   3.1800e+02   9.2038e-06   9.2416e-08
   3.1900e+02   9.1846e-06   9.2044e-08
   3.2000e+02   9.1656e-06   9.1676e-08
   3.2100e+02   9.1467e-06   9.1312e-08
   3.2200e+02   9.1280e-06   9.0950e-08
   3.2300e+02   9.1094e-06   9.0592e-08
   3.2400e+02   9.0910e-06   9.0237e-08
   3.2500e+02   9.0727e-06   8.9884e-08
   3.2600e+02   9.0545e-06   8.9535e-08
   3.2700e+02   9.0365e-06   8.9189e-08
   3.2800e+02   9.0186e-06   8.8845e-08
   3.2900e+02   9.0008e-06   8.8504e-08
   3.3000e+02   8.9832e-06   8.8166e-08
   3.3100e+02   8.9657e-06   8.7830e-08
   3.3200e+02   8.9482e-06   8.7497e-08
   3.3300e+02   8.9309e-06   8.7167e-08
   3.3400e+02   8.9138e-06   8.6839e-08
   3.3500e+02   8.8967e-06   8.6513e-08
   3.3600e+02   8.8797e-06   8.6190e-08
   3.3700e+02   8.8629e-06   8.5869e-08
   3.3800e+02   8.8461e-06   8.5550e-08
   3.3900e+02   8.8294e-06   8.5233e-08
   3.4000e+02   8.8129e-06   8.4919e-08
   3.4100e+02   8.7964e-06   8.4606e-08
   3.4200e+02   8.7800e-06   8.4295e-08
   3.4300e+02   8.7637e-06   8.3987e-08
   3.4400e+02   8.7475e-06   8.3680e-08
   3.4500e+02   8.7313e-06   8.3375e-08
   3.4600e+02   8.7153e-06   8.3073e-08
   3.4700e+02   8.6994e-06   8.2772e-08
   3.4800e+02   8.6835e-06   8.2473e-08
   3.4900e+02   8.6678e-06   8.2176e-08
   3.5000e+02   8.6521e-06   8.1881e-08
   3.5100e+02   8.6366e-06   8.1588e-08
   3.5200e+02   8.6211e-06   8.1297e-08
   3.5300e+02   8.6057e-06   8.1008e-08
   3.5400e+02   8.5904e-06   8.0720e-08
   3.5500e+02   8.5752e-06   8.0435e-08
   3.5600e+02   8.5601e-06   8.0151e-08
   3.5700e+02   8.5451e-06   7.9869e-08
   3.5800e+02   8.5302e-06   7.9590e-08
   3.5900e+02   8.5154e-06   7.9311e-08
   3.6000e+02   8.5007e-06   7.9035e-08
